chr12	20704380
chr12	20704379
chr21	9827238
chr5	71146882
chr8	38283717
chr12	20704371
chr12	20704377
chr21	9827364
chr4	184083607
chr11	85195011
chr11	85195078
chr12	20704387
chr21	9827418
chr12	20704369
chr12	20704360
chr2	133012823
chr12	127650880
chr12	20704368
chr17	33478136
chr11	85195011
chr12	20704397
chr21	9827402
chr11	85195089
chr21	9827440
chrM	2406
chr8	38271176
chr8	38275840
chr8	38285445
chr21	9827282
chr12	20704395
chr17	33478134
chr12	20704391
chr1	108113517
chr5	71146742
chr15	45003753
chr12	20704393
chr21	9827370
chrM	2662
chr1	91852890
chr12	20704389
chr21	9827090
chr8	38271008
chr12	20704393
chr21	9827394
chr21	9827351
chr8	38283716
chr21	9827237
chr11	85195057
chr1	91852867
chrX	108297787
chr21	9827238
chr21	9827109
chr1	91853025
chr5	71146742
chr8	38271232
chr17	33478126
chr1	91853055
chr12	20704397
chr21	9827219
chr11	85195057
chr8	70602352
chr1	91852783
chr11	85195041
chr1	91852912
chr12	20704387
chr12	20704400
chr1	91852951
chr11	85195013
chr21	9827234
chr21	9827359
chr12	20704410
chr21	9827389
chr11	85195019
chr2	230045522
chr12	20704416
chr15	45007637
chr8	38271187
chr21	9827233
chrM	1381
chr15	45003752
chr12	20704379
chr12	20704381
chr11	85195061
chr11	15173779
chr21	9827457
chr21	9827371
chr11	62105438
chr11	85195064
chr17	33478139
chr21	9827089
chr2	230045512
chr9	79186793
chr21	9827377
chr12	20704378
chr8	70602355
chr20	5170867
chr2	133012817
chr12	20704393
chr8	38279404
chr1	91852934
chr1	52823538
chr15	45003745
chr1	91853069
chr8	38277075
chr17	33478134
chr17	33478120
chr12	20704375
chr5	71146883
chr17	33478130
chr21	9827376
chr17	33478122
chr21	9827232
chr1	91853059
chr17	33478120
chr6	134214432
chrX	108297672
chr12	20704399
chr12	20704365
chr5	71146742
chr17	33478128
chr15	45003748
chr21	9827102
chr8	38271435
chr11	85195030
chr2	133012820
chr15	45003751
chr21	9827390
chr21	9827403
chr12	20704389
chr17	33478138
chr21	9827108
chr12	20704389
chr11	85195011
chr11	85195079
chr21	9827387
chr21	9827305
chr16	33963314
chr12	127650877
chr21	9827233
chr8	38271261
chr12	20704394
chr12	127650871
chr17	33478116
chr8	38282027
chrM	2797
chr21	9827440
chr17	33478142
chr11	85195070
chr11	85195078
chr11	85195048
chr15	45003760
chr2	1643106
chr1	91853061
chr11	85195028
chr21	9827375
chr21	9827150
chr21	9827293
chr21	9827393
chr12	20704389
chr1	91852908
chr12	20704379
